Position, Player, PosicionPPG, PosicionAPG, PosicionRPG, PosicionWS48, PosicionPER, PuntajeCampeonatos, PuntajeFMVP, PuntajeMVP, PuntajeAllDefense, PuntajeAllNBA, PuntajeAllStar, PuntajeRanking 
132, Lenny Wilkens, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 27, 69
133, Tony Parker, 0, 0, 0, 0, 0, 24, 6, 0, 0, 20, 18, 68
134, Chauncey Billups, 0, 0, 0, 24, 0, 6, 6, 0, 6, 10, 15, 67
135, Mark Jackson, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 3, 65
136, Blake Griffin, 3, 0, 0, 0, 21, 0, 0, 0, 0, 22, 18, 64
137, Jim Pollard, 0, 0, 0, 0, 0, 30, 0, 0, 0, 22, 12, 64
138, Michael Cooper, 0, 0, 0, 0, 0, 30, 0, 0, 34, 0, 0, 64
139, Kevin Porter, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
140, Zelmo Beaty, 0, 0, 40, 16, 0, 0, 0, 0, 0, 0, 6, 62
141, Red Kerr, 0, 0, 46, 0, 0, 6, 0, 0, 0, 0, 9, 61
142, Baron Davis, 0, 51, 0, 0, 0, 0, 0, 0, 0, 2, 6, 59
143, Robert Parish, 0, 0, 0, 0, 0, 24, 0, 0, 0, 8, 27, 59
144, DeMar DeRozan, 29, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 58
145, Ricky Rubio, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58
146, Rod Strickland, 0, 52, 0, 0, 0, 0, 0, 0, 0, 6, 0, 58
147, Mike Lewis, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 57
148, Chris Bosh, 0, 0, 0, 0, 6, 12, 0, 0, 0, 6, 33, 57
149, Muggsy Bogues, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57
150, Paul Westphal, 0, 0, 0, 0, 0, 6, 0, 0, 0, 36, 15, 57
151, Jrue Holiday, 0, 32, 0, 0, 0, 6, 0, 0, 16, 0, 3, 57
152, Johnny Moore, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55
153, Paul Silas, 0, 0, 12, 0, 0, 18, 0, 0, 19, 0, 6, 55
